timestep,episode,reward,length,mean_reward_10ep
2439,218,6.852,10,8.177
2469,219,21.285,30,10.011
2478,220,6.032,9,9.639
2480,221,1.118,2,9.063
2492,222,9.313,12,8.998
2495,223,1.847,3,9.0
2502,224,5.179,7,8.788
2512,225,6.72,10,7.308
2516,226,2.632,4,7.391
2519,227,1.633,3,6.261
2528,228,5.853,9,6.161
2553,229,18.398,25,5.873
2561,230,6.345,8,5.904
2567,231,3.518,6,6.144
2574,232,5.531,7,5.766
2582,233,6.199,8,6.201
2603,234,15.413,21,7.224
2620,235,12.386,17,7.791
2625,236,3.235,5,7.851
2629,237,2.713,4,7.959
2641,238,8.599,12,8.234
2646,239,3.299,5,6.724
2655,240,7.746,9,6.864
2676,241,16.412,21,8.153
2689,242,9.714,13,8.572
2714,243,19.179,25,9.87
2721,244,5.379,7,8.866
2732,245,8.946,11,8.522
2743,246,7.502,11,8.949
2750,247,5.22,7,9.199
2758,248,6.415,8,8.981
2764,249,5.019,6,9.153
2784,250,15.28,20,9.906
2789,251,3.218,5,8.587
2797,252,6.785,8,8.294
2810,253,9.612,13,7.337
2813,254,1.847,3,6.984
2816,255,1.749,3,6.265
2825,256,7.379,9,6.252
2834,257,7.214,9,6.452
2841,258,5.479,7,6.358
2844,259,1.953,3,6.052
2854,260,8.213,10,5.345
2858,261,2.899,4,5.313
2864,262,4.299,6,5.064
2870,263,4.049,6,4.508
2877,264,4.953,7,4.819
2901,265,18.079,24,6.452
2912,266,8.032,11,6.517
2922,267,7.845,10,6.58
2931,268,6.18,9,6.65
2934,269,1.733,3,6.628
2958,270,17.079,24,7.515
2965,271,4.884,7,7.713
2979,272,11.279,14,8.411
2987,273,5.432,8,8.549
2999,274,9.581,12,9.012
3029,275,22.553,30,9.46
3038,276,6.752,9,9.332
3048,277,6.982,10,9.245
3078,278,21.753,30,10.803
3087,279,5.985,9,11.228
3100,280,8.652,13,10.385
3111,281,8.214,11,10.718
3125,282,10.55,14,10.645
3129,283,2.879,4,10.39
3133,284,2.647,4,9.697
3139,285,4.8,6,7.921
3165,286,20.042,26,9.25
3173,287,6.479,8,9.2
3176,288,1.98,3,7.223
3182,289,3.568,6,6.981
3188,290,3.82,6,6.498
3194,291,4.199,6,6.096
3199,292,3.48,5,5.389
3211,293,8.664,12,5.968
3218,294,4.898,7,6.193
3221,295,2.046,3,5.917
3228,296,4.419,7,4.355
3237,297,7.812,9,4.488
3241,298,2.864,4,4.577
3246,299,3.566,5,4.576
3262,300,11.731,16,5.368
3292,301,23.283,30,7.276
3297,302,3.35,5,7.263
3309,303,10.044,12,7.401
3312,304,2.013,3,7.113
3316,305,2.946,4,7.203
3326,306,7.131,10,7.474
3337,307,8.963,11,7.589
3340,308,1.98,3,7.501
3345,309,3.35,5,7.479
3357,310,8.198,12,7.126
3362,311,3.779,5,5.175
3365,312,1.985,3,5.039
3368,313,1.847,3,4.219
3374,314,4.065,6,4.424
3391,315,13.315,17,5.461
3412,316,15.519,21,6.3
3442,317,23.079,30,7.712
3446,318,2.432,4,7.757
3452,319,4.331,6,7.855
3455,320,1.847,3,7.22
3485,321,23.998,30,9.242
3487,322,1.213,2,9.165
3493,323,4.367,6,9.417
3496,324,1.602,3,9.17
3503,325,4.75,7,8.314
3516,326,9.052,13,7.667
3521,327,4.013,5,5.76
3525,328,2.466,4,5.764
3536,329,8.052,11,6.136
3540,330,2.679,4,6.219
3549,331,7.068,9,4.526
3574,332,19.465,25,6.351
3578,333,2.879,4,6.202
3604,334,18.599,26,7.902
3608,335,2.433,4,7.671
3625,336,12.518,17,8.017
3651,337,21.299,26,9.746
3681,338,22.767,30,11.776
3696,339,11.912,15,12.162
3703,340,5.746,7,12.469
3707,341,3.079,4,12.07
3720,342,9.133,13,11.037
3750,343,23.598,30,13.109
3754,344,2.533,4,11.502
3760,345,4.148,6,11.673
3766,346,3.968,6,10.818
3784,347,15.194,18,10.208
3800,348,11.767,16,9.108
3805,349,3.201,5,8.237
3815,350,7.812,10,8.443
3823,351,6.066,8,8.742
3829,352,3.865,6,8.215
3840,353,9.613,11,6.817
3854,354,11.484,14,7.712
3873,355,13.645,19,8.662
3880,356,5.199,7,8.785
3896,357,13.148,16,8.58
3925,358,20.497,29,9.453
3927,359,1.247,2,9.258
3933,360,4.346,6,8.911
3939,361,3.833,6,8.688
3950,362,8.713,11,9.173
3958,363,5.918,8,8.803
3970,364,8.997,12,8.554
3980,365,7.379,10,7.928
3990,366,8.2,10,8.228
3996,367,3.653,6,7.278
4008,368,8.448,12,6.073
4037,369,21.346,29,8.083
4049,370,8.064,12,8.455
4074,371,19.678,25,10.04
4079,372,3.515,5,9.52
4090,373,7.135,11,9.641
4096,374,4.585,6,9.2
4120,375,18.33,24,10.295
4150,376,21.487,30,11.624
4157,377,5.079,7,11.767
4183,378,20.147,26,12.937
4188,379,3.686,5,11.171
4203,380,10.62,15,11.426
4229,381,18.979,26,11.356
4233,382,2.532,4,11.258
4237,383,2.633,4,10.808
4262,384,17.412,25,12.09
4268,385,4.265,6,10.684
4274,386,3.985,6,8.934
4277,387,1.699,3,8.596
4290,388,10.478,13,7.629
4320,389,27.242,30,9.984
4330,390,8.286,10,9.751
4337,391,5.479,7,8.401
4342,392,3.913,5,8.539
4348,393,4.763,6,8.752
4369,394,15.185,21,8.53
4376,395,5.13,7,8.616
4384,396,6.078,8,8.826
4400,397,12.081,16,9.864
4430,398,23.665,30,11.182
4435,399,3.613,5,8.819
4457,400,15.832,22,9.574
4470,401,10.463,13,10.072
4474,402,2.812,4,9.962
4479,403,3.48,5,9.834
4483,404,2.713,4,8.587
4501,405,13.483,18,9.422
4511,406,7.715,10,9.586
4523,407,10.18,12,9.396
4532,408,5.651,9,7.594
4535,409,1.633,3,7.396
4540,410,3.499,5,6.163
4543,411,1.8,3,5.297
4557,412,10.218,14,6.037
4567,413,7.546,10,6.444
4588,414,14.966,21,7.669
4592,415,2.697,4,6.591
4595,416,1.931,3,6.012
4613,417,14.315,18,6.426
4618,418,3.581,5,6.219
4627,419,7.446,9,6.8
4640,420,9.579,13,7.408
4644,421,2.999,4,7.528
4663,422,13.232,19,7.829
4667,423,2.813,4,7.356
4671,424,2.5,4,6.109
4701,425,25.63,30,8.402
4706,426,3.382,5,8.548
4714,427,6.218,8,7.738
4733,428,15.243,19,8.904
4739,429,4.265,6,8.586
4747,430,5.383,8,8.167
4762,431,10.431,15,8.91
4770,432,5.945,8,8.181
4783,433,9.718,13,8.872
4809,434,19.661,26,10.588
4822,435,9.766,13,9.001
4825,436,1.848,3,8.848
4828,437,1.699,3,8.396
4848,438,15.031,20,8.375
4851,439,1.749,3,8.123
4854,440,1.749,3,7.76
4860,441,4.845,6,7.201
4863,442,1.6,3,6.767
4874,443,7.752,11,6.57
4879,444,3.266,5,4.931
4885,445,4.798,6,4.434
4894,446,7.046,9,4.954
4911,447,11.568,17,5.94
4918,448,5.013,7,4.939
