timestep,episode,reward,length,mean_reward_10ep
10669,932,2.866,4,9.657
10693,933,18.613,24,9.701
10696,934,1.764,3,9.379
10704,935,6.979,8,8.721
10731,936,21.544,27,10.355
10761,937,21.278,30,11.537
10779,938,14.877,18,12.32
10794,939,13.145,15,12.933
10809,940,10.166,15,13.232
10815,941,4.411,6,11.564
10830,942,10.299,15,12.308
10834,943,2.599,4,10.706
10864,944,21.787,30,12.709
10871,945,4.813,7,12.492
10889,946,13.398,18,11.677
10907,947,12.466,18,10.796
10920,948,10.179,13,10.326
10929,949,7.348,9,9.747
10932,950,1.799,3,8.91
10940,951,5.485,8,9.017
10946,952,4.598,6,8.447
10976,953,23.211,30,10.508
10981,954,3.884,5,8.718
10987,955,4.413,6,8.678
10996,956,6.818,9,8.02
11004,957,5.633,8,7.337
11010,958,3.669,6,6.686
11013,959,1.88,3,6.139
11022,960,7.382,9,6.697
11026,961,2.88,4,6.437
11055,962,22.412,29,8.218
11064,963,5.915,9,6.489
11085,964,16.71,21,7.771
11097,965,8.831,12,8.213
11108,966,7.932,11,8.324
11138,967,22.311,30,9.992
11141,968,1.748,3,9.8
11147,969,4.633,6,10.075
11164,970,12.885,17,10.626
11178,971,11.398,14,11.477
11184,972,4.531,6,9.689
11192,973,6.23,8,9.721
11195,974,1.732,3,8.223
11203,975,6.812,8,8.021
11211,976,5.879,8,7.816
11216,977,3.699,5,5.955
11222,978,4.801,6,6.26
11227,979,4.279,5,6.225
11233,980,3.869,6,5.323
11251,981,12.952,18,5.478
11254,982,1.752,3,5.2
11265,983,8.532,11,5.431
11274,984,7.118,9,5.969
11304,985,21.452,30,7.433
11316,986,10.012,12,7.847
11322,987,4.265,6,7.903
11334,988,8.779,12,8.301
11346,989,9.948,12,8.868
11376,990,23.386,30,10.82
11406,991,21.253,30,11.65
11430,992,17.214,24,13.196
11435,993,3.845,5,12.727
11440,994,3.003,5,12.316
11459,995,15.084,19,11.679
11466,996,5.446,7,11.222
11496,997,22.148,30,13.011
11515,998,13.781,19,13.511
11522,999,5.266,7,13.043
11526,1000,2.666,4,10.971
11540,1001,11.614,14,10.007
11550,1002,7.366,10,9.022
11554,1003,2.946,4,8.932
11557,1004,1.665,3,8.798
11562,1005,3.216,5,7.611
11571,1006,7.618,9,7.829
11578,1007,5.745,7,6.188
11586,1008,5.998,8,5.41
11606,1009,16.151,20,6.499
11621,1010,12.981,15,7.53
11624,1011,1.633,3,6.532
11629,1012,3.581,5,6.154
11634,1013,3.381,5,6.197
11645,1014,9.177,11,6.948
11653,1015,6.383,8,7.265
11658,1016,3.233,5,6.826
11672,1017,11.999,14,7.452
11677,1018,3.646,5,7.216
11683,1019,4.564,6,6.058
11691,1020,6.479,8,5.408
11708,1021,12.468,17,6.491
11711,1022,2.013,3,6.334
11722,1023,8.944,11,6.891
11735,1024,10.433,13,7.016
11741,1025,4.646,6,6.843
11756,1026,11.578,15,7.677
11764,1027,6.345,8,7.112
11770,1028,4.546,6,7.202
11790,1029,15.745,20,8.32
11811,1030,15.448,21,9.217
11819,1031,6.546,8,8.625
11827,1032,6.946,8,9.118
11831,1033,2.632,4,8.487
11849,1034,12.52,18,8.695
11852,1035,1.665,3,8.397
11860,1036,5.681,8,7.807
11871,1037,8.265,11,7.999
11875,1038,2.548,4,7.8
11886,1039,8.298,11,7.055
11904,1040,13.529,18,6.863
11929,1041,17.085,25,7.917
11938,1042,6.633,9,7.886
11941,1043,2.118,3,7.834
11958,1044,13.518,17,7.934
11965,1045,6.066,7,8.374
11970,1046,3.7,5,8.176
11974,1047,2.813,4,7.631
11996,1048,16.034,22,8.979
12004,1049,6.478,8,8.797
12034,1050,21.199,30,9.564
12059,1051,18.351,25,9.691
12067,1052,6.396,8,9.667
12072,1053,3.417,5,9.797
12076,1054,2.78,4,8.723
12100,1055,18.03,24,9.92
12108,1056,4.952,8,10.045
12113,1057,3.912,5,10.155
12119,1058,4.28,6,8.979
12123,1059,2.764,4,8.608
12131,1060,5.135,8,7.002
12140,1061,7.152,9,5.882
12145,1062,3.333,5,5.575
12150,1063,3.349,5,5.569
12163,1064,9.512,13,6.242
12180,1065,13.283,17,5.767
12185,1066,3.398,5,5.612
12215,1067,23.733,30,7.594
12226,1068,7.365,11,7.902
12233,1069,5.613,7,8.187
12243,1070,8.311,10,8.505
12247,1071,2.78,4,8.068
12277,1072,24.317,30,10.166
12288,1073,8.186,11,10.65
12301,1074,9.766,13,10.675
12312,1075,7.868,11,10.134
12339,1076,20.301,27,11.824
12359,1077,14.643,20,10.915
12375,1078,13.55,16,11.534
12386,1079,8.911,11,11.863
12416,1080,24.911,30,13.523
12434,1081,14.429,18,14.688
12448,1082,9.832,14,13.24
12458,1083,8.38,10,13.259
12468,1084,7.019,10,12.984
12472,1085,2.599,4,12.457
12481,1086,6.397,9,11.067
12489,1087,6.515,8,10.254
12493,1088,2.502,4,9.149
12506,1089,10.612,13,9.319
12533,1090,21.33,27,8.961
12544,1091,8.777,11,8.396
12553,1092,5.754,9,7.988
12556,1093,1.913,3,7.342
12586,1094,22.083,30,8.848
12595,1095,7.381,9,9.326
12616,1096,14.247,21,10.111
12623,1097,5.101,7,9.97
12644,1098,16.833,21,11.403
12674,1099,26.295,30,12.971
12689,1100,10.32,15,11.87
12716,1101,20.93,27,13.086
12724,1102,5.469,8,13.057
12733,1103,7.348,9,13.601
12739,1104,4.051,6,11.797
12745,1105,3.9,6,11.449
12764,1106,14.343,19,11.459
12767,1107,1.947,3,11.144
12776,1108,6.152,9,10.076
12783,1109,5.131,7,7.959
12790,1110,5.612,7,7.488
12792,1111,1.153,2,5.511
12806,1112,11.679,14,6.132
12813,1113,5.612,7,5.958
12821,1114,6.978,8,6.251
12840,1115,16.378,19,7.499
12868,1116,21.446,28,8.209
12875,1117,5.931,7,8.607
12905,1118,21.951,30,10.187
12926,1119,15.345,21,11.208
12933,1120,4.898,7,11.137
12956,1121,15.799,23,12.602
12986,1122,25.431,30,13.977
12992,1123,3.986,6,13.814
13000,1124,6.684,8,13.785
13005,1125,3.979,5,12.545
13016,1126,8.783,11,11.279
13020,1127,2.851,4,10.971
13029,1128,6.118,9,9.387
13034,1129,3.349,5,8.188
13045,1130,7.485,11,8.446
13048,1131,2.046,3,7.071
13061,1132,9.266,13,5.455
13066,1133,3.464,5,5.403
13078,1134,10.162,12,5.75
13094,1135,13.313,16,6.684
13097,1136,1.766,3,5.982
13106,1137,7.679,9,6.465
13117,1138,9.845,11,6.837
13127,1139,7.73,10,7.276
13137,1140,7.366,10,7.264
13140,1141,1.88,3,7.247
13148,1142,5.849,8,6.905
13153,1143,3.631,5,6.922
13156,1144,2.013,3,6.107
13161,1145,3.746,5,5.15
13163,1146,1.28,2,5.102
13168,1147,3.846,5,4.719
13175,1148,5.479,7,4.282
13178,1149,1.882,3,3.697
13190,1150,9.044,12,3.865
13194,1151,2.466,4,3.924
13204,1152,7.812,10,4.12
13223,1153,13.769,19,5.134
13240,1154,14.377,17,6.37
13251,1155,9.112,11,6.907
13274,1156,17.012,23,8.48
13284,1157,7.732,10,8.868
13289,1158,3.58,5,8.679
13292,1159,1.98,3,8.688
13307,1160,12.433,15,9.027
13316,1161,7.312,9,9.512
13346,1162,25.318,30,11.262
13353,1163,5.613,7,10.447
13373,1164,17.495,20,10.759
13377,1165,2.979,4,10.145
13386,1166,6.964,9,9.141
13394,1167,6.978,8,9.065
13410,1168,11.7,16,9.877
13426,1169,12.863,16,10.965
13444,1170,14.878,18,11.21
13451,1171,5.712,7,11.05
13479,1172,21.376,28,10.656
13484,1173,3.019,5,10.396
13495,1174,7.569,11,9.404
13514,1175,14.028,19,10.509
13529,1176,13.05,15,11.117
13536,1177,4.665,7,10.886
13549,1178,10.864,13,10.802
13557,1179,6.01,8,10.117
13562,1180,3.034,5,8.933
13573,1181,8.778,11,9.239
13592,1182,14.642,19,8.566
13622,1183,24.044,30,10.669
13644,1184,15.935,22,11.505
13652,1185,6.232,8,10.726
13671,1186,15.043,19,10.925
13695,1187,18.629,24,12.321
13715,1188,14.297,20,12.665
13718,1189,1.913,3,12.255
13727,1190,6.663,9,12.618
13733,1191,4.065,6,12.146
13742,1192,6.25,9,11.307
13748,1193,5.118,6,9.415
13766,1194,13.186,18,9.14
13776,1195,8.378,10,9.354
13799,1196,16.836,23,9.534
13809,1197,7.397,10,8.41
13822,1198,9.299,13,7.911
13831,1199,7.952,9,8.515
13836,1200,3.464,5,8.195
13848,1201,8.066,12,8.595
13854,1202,5.019,6,8.472
13880,1203,18.799,26,9.84
13884,1204,2.681,4,8.789
13889,1205,3.35,5,8.286
13899,1206,8.419,10,7.445
13909,1207,7.846,10,7.49
13933,1208,20.28,24,8.588
13936,1209,2.019,3,7.994
13939,1210,1.865,3,7.835
13942,1211,1.764,3,7.204
13954,1212,10.43,12,7.745
13963,1213,6.964,9,6.562
13975,1214,10.264,12,7.32
13990,1215,11.786,15,8.164
13994,1216,2.633,4,7.585
14004,1217,8.745,10,7.675
14008,1218,2.518,4,5.899
14038,1219,24.312,30,8.128
14043,1220,2.92,5,8.234
14047,1221,2.584,4,8.316
14077,1222,23.364,30,9.609
14085,1223,6.73,8,9.586
14091,1224,4.652,6,9.024
14100,1225,7.112,9,8.557
14103,1226,1.666,3,8.46
14124,1227,16.244,21,9.21
14129,1228,3.053,5,9.264
14136,1229,5.679,7,7.4
14139,1230,1.8,3,7.288
14146,1231,5.882,7,7.618
14153,1232,5.25,7,5.807
14173,1233,14.465,20,6.58
14179,1234,4.646,6,6.58
14182,1235,1.733,3,6.042
14206,1236,19.298,24,7.805
14236,1237,23.046,30,8.485
14239,1238,1.882,3,8.368
14250,1239,9.345,11,8.735
14260,1240,7.596,10,9.314
14272,1241,9.777,12,9.704
14292,1242,13.848,20,10.564
14299,1243,5.846,7,9.702
14323,1244,18.482,24,11.085
14331,1245,6.195,8,11.532
14337,1246,4.946,6,10.096
14347,1247,8.378,10,8.629
14359,1248,8.549,12,9.296
14370,1249,9.246,11,9.286
14373,1250,1.946,3,8.721
14376,1251,2.146,3,7.958
14386,1252,6.567,10,7.23
14416,1253,21.964,30,8.842
14419,1254,1.899,3,7.183
14438,1255,14.213,19,7.985
14447,1256,7.646,9,8.255
14467,1257,14.813,20,8.899
14479,1258,8.316,12,8.876
14488,1259,6.899,9,8.641
14491,1260,2.013,3,8.648
14498,1261,5.152,7,8.948
14502,1262,2.566,4,8.548
14532,1263,23.264,30,8.678
14535,1264,1.749,3,8.663
14554,1265,14.477,19,8.689
14564,1266,6.353,10,8.56
14573,1267,6.633,9,7.742
14603,1268,22.35,30,9.146
14625,1269,16.318,22,10.088
14633,1270,6.299,8,10.516
14639,1271,4.265,6,10.427
14645,1272,3.966,6,10.567
14656,1273,8.363,11,9.077
14668,1274,9.546,12,9.857
14698,1275,22.464,30,10.656
14712,1276,10.045,14,11.025
14716,1277,2.565,4,10.618
14735,1278,14.282,19,9.811
14757,1279,17.646,22,9.944
14777,1280,14.679,20,10.782
14786,1281,7.286,9,11.084
14791,1282,3.447,5,11.032
14811,1283,15.8,20,11.776
14827,1284,12.945,16,12.116
14835,1285,6.512,8,10.521
14838,1286,1.767,3,9.693
14854,1287,12.011,16,10.637
14867,1288,8.72,13,10.081
14881,1289,9.932,14,9.31
14888,1290,4.986,7,8.341
14906,1291,15.077,18,9.12
14912,1292,4.765,6,9.251
14922,1293,7.513,10,8.423
14928,1294,4.479,6,7.576
14939,1295,8.951,11,7.82
14959,1296,14.162,20,9.06
14967,1297,6.002,8,8.459
14978,1298,8.102,11,8.397
14989,1299,8.465,11,8.25
15019,1300,22.384,30,9.99
15035,1301,11.317,16,9.614
15049,1302,10.249,14,10.162
15054,1303,3.366,5,9.748
15067,1304,9.398,13,10.24
15079,1305,8.965,12,10.241
15101,1306,19.577,22,10.783
15106,1307,3.414,5,10.524
15118,1308,8.285,12,10.542
15125,1309,5.132,7,10.209
15153,1310,21.052,28,10.076
15156,1311,1.716,3,9.115
15159,1312,1.848,3,8.275
15169,1313,8.882,10,8.827
15181,1314,8.566,12,8.744
15194,1315,10.479,13,8.895
15198,1316,2.933,4,7.231
15203,1317,3.348,5,7.224
15213,1318,7.865,10,7.182
15228,1319,11.897,15,7.859
15240,1320,10.745,12,6.828
15244,1321,2.633,4,6.92
15270,1322,19.83,26,8.718
15284,1323,10.685,14,8.898
15303,1324,14.551,19,9.497
15314,1325,8.765,11,9.325
15344,1326,21.453,30,11.177
15374,1327,25.584,30,13.401
15391,1328,12.117,17,13.826
15403,1329,10.296,12,13.666
15407,1330,2.946,4,12.886
15410,1331,2.013,3,12.824
15423,1332,11.143,13,11.955
15435,1333,9.168,12,11.804
15443,1334,6.177,8,10.966
15449,1335,4.415,6,10.531
15455,1336,4.811,6,8.867
15485,1337,25.879,30,8.897
15504,1338,14.765,19,9.162
15520,1339,14.144,16,9.546
15543,1340,17.994,23,11.051
15552,1341,6.979,9,11.548
15557,1342,3.232,5,10.757
15563,1343,4.365,6,10.276
15570,1344,5.879,7,10.246
15579,1345,6.38,9,10.443
15603,1346,17.814,24,11.743
15619,1347,11.799,16,10.335
15633,1348,11.18,14,9.977
15644,1349,8.978,11,9.46
15651,1350,5.346,7,8.195
15681,1351,24.477,30,9.945
15711,1352,24.397,30,12.062
15721,1353,7.798,10,12.405
15748,1354,20.445,27,13.861
15761,1355,9.452,13,14.169
15765,1356,2.433,4,12.63
15768,1357,2.013,3,11.652
15774,1358,3.951,6,10.929
15780,1359,4.131,6,10.444
15796,1360,11.134,16,11.023
15813,1361,15.512,17,10.126
15820,1362,4.667,7,8.153
15835,1363,11.651,15,8.539
15841,1364,4.646,6,6.959
15855,1365,10.264,14,7.04
15862,1366,4.599,7,7.257
15874,1367,9.063,12,7.962
15896,1368,15.502,22,9.117
15901,1369,3.499,5,9.054
15931,1370,23.602,30,10.301
15945,1371,11.336,14,9.883
15951,1372,5.179,6,9.934
15955,1373,2.548,4,9.024
15973,1374,12.385,18,9.798
15984,1375,7.886,11,9.56
16003,1376,14.318,19,10.532
16011,1377,6.385,8,10.264
16019,1378,5.066,8,9.22
16031,1379,8.285,12,9.699
16056,1380,18.679,25,9.207
16063,1381,5.846,7,8.658
16077,1382,11.463,14,9.286
16091,1383,11.679,14,10.199
16102,1384,9.366,11,9.897
16120,1385,12.385,18,10.347
16127,1386,5.663,7,9.482
16153,1387,19.681,26,10.812
16158,1388,3.746,5,10.68
16160,1389,1.016,2,9.953
16164,1390,2.882,4,8.373
16177,1391,10.132,13,8.802
16183,1392,4.651,6,8.12
16188,1393,3.265,5,7.279
16218,1394,22.434,30,8.586
16229,1395,8.445,11,8.192
16240,1396,7.318,11,8.357
16243,1397,2.051,3,6.594
16247,1398,2.668,4,6.486
16253,1399,4.778,6,6.862
16266,1400,8.619,13,7.436
16272,1401,4.697,6,6.893
16279,1402,5.216,7,6.949
16290,1403,8.881,11,7.511
16310,1404,15.012,20,6.768
16334,1405,17.997,24,7.724
16341,1406,6.013,7,7.593
16348,1407,5.047,7,7.893
16360,1408,8.819,12,8.508
16383,1409,19.377,23,9.968
16404,1410,16.602,21,10.766
16409,1411,3.499,5,10.646
16415,1412,4.099,6,10.535
16423,1413,6.063,8,10.253
16453,1414,21.685,30,10.92
16456,1415,1.716,3,9.292
16459,1416,1.88,3,8.879
16472,1417,10.309,13,9.405
16488,1418,14.129,16,9.936
16501,1419,9.753,13,8.973
16510,1420,7.784,9,8.092
16514,1421,2.88,4,8.03
16544,1422,25.146,30,10.135
16574,1423,23.448,30,11.873
16578,1424,2.599,4,9.964
16588,1425,8.119,10,10.605
16591,1426,1.88,3,10.605
16606,1427,11.716,15,10.745
16631,1428,18.061,25,11.139
16658,1429,20.349,27,12.198
16674,1430,12.33,16,12.653
16689,1431,12.763,15,13.641
16692,1432,1.947,3,11.321
16695,1433,1.849,3,9.161
16725,1434,22.616,30,11.163
16731,1435,4.315,6,10.783
16742,1436,8.5,11,11.445
16751,1437,7.546,9,11.028
16760,1438,6.612,9,9.883
16780,1439,15.598,20,9.408
16791,1440,8.611,11,9.036
16794,1441,1.913,3,7.951
16807,1442,10.6,13,8.816
16814,1443,4.952,7,9.126
16827,1444,11.078,13,7.973
16829,1445,1.313,2,7.672
16859,1446,22.417,30,9.064
16868,1447,7.062,9,9.016
16876,1448,5.133,8,8.868
16882,1449,4.216,6,7.73
16889,1450,5.544,7,7.423
16913,1451,17.219,24,8.953
16943,1452,23.484,30,10.242
16973,1453,23.343,30,12.081
16981,1454,5.934,8,11.567
16984,1455,1.849,3,11.62
16993,1456,7.579,9,10.136
17013,1457,16.578,20,11.088
17023,1458,6.619,10,11.237
17030,1459,5.001,7,11.315
17037,1460,5.378,7,11.299
17047,1461,8.28,10,10.405
17062,1462,11.349,15,9.191
17071,1463,6.882,9,7.545
17101,1464,24.297,30,9.381
17111,1465,6.865,10,9.883
17122,1466,9.077,11,10.033
17133,1467,8.447,11,9.22
17144,1468,9.511,11,9.509
17163,1469,12.532,19,10.262
17170,1470,5.347,7,10.259
17182,1471,9.72,12,10.403
17205,1472,16.898,23,10.958
17216,1473,8.132,11,11.083
17246,1474,25.843,30,11.237
17264,1475,13.753,18,11.926
17268,1476,2.732,4,11.291
17284,1477,12.23,16,11.67
17287,1478,1.88,3,10.907
17290,1479,1.946,3,9.848
17320,1480,22.813,30,11.595
17327,1481,5.099,7,11.132
17333,1482,4.652,6,9.908
17338,1483,3.432,5,9.438
17362,1484,17.676,24,8.621
17365,1485,1.98,3,7.444
17372,1486,5.486,7,7.719
17375,1487,1.765,3,6.673
17381,1488,4.88,6,6.973
17384,1489,1.997,3,6.978
17408,1490,17.768,24,6.474
17438,1491,24.044,30,8.368
17441,1492,1.849,3,8.088
17455,1493,11.517,14,8.896
17469,1494,12.212,14,8.35
17499,1495,23.916,30,10.544
17502,1496,2.013,3,10.196
17510,1497,6.532,8,10.673
17517,1498,5.233,7,10.708
17535,1499,15.345,18,12.043
17556,1500,15.084,21,11.775
17567,1501,7.633,11,10.133
17580,1502,9.314,13,10.88
17591,1503,8.379,11,10.566
17597,1504,4.33,6,9.778
17605,1505,6.812,8,8.068
17633,1506,21.813,28,10.048
17638,1507,3.979,5,9.792
17650,1508,8.32,12,10.101
17670,1509,14.813,20,10.048
17686,1510,11.48,16,9.687
17697,1511,7.401,11,9.664
17700,1512,1.848,3,8.918
17707,1513,5.53,7,8.633
17727,1514,14.651,20,9.665
17733,1515,4.68,6,9.452
17760,1516,20.366,27,9.307
17790,1517,22.333,30,11.142
17793,1518,1.766,3,10.487
17806,1519,11.147,13,10.12
17830,1520,18.015,24,10.774
17860,1521,25.417,30,12.575
17868,1522,6.015,8,12.992
17870,1523,1.213,2,12.56
17879,1524,6.187,9,11.714
17883,1525,2.531,4,11.499
17887,1526,2.68,4,9.73
17892,1527,3.333,5,7.83
17897,1528,3.448,5,7.999
17919,1529,18.717,22,8.756
17930,1530,7.487,11,7.703
17950,1531,15.985,20,6.76
17971,1532,16.848,21,7.843
17974,1533,1.782,3,7.9
17982,1534,6.513,8,7.932
17987,1535,3.813,5,8.061
17994,1536,5.931,7,8.386
18018,1537,18.362,24,9.889
18029,1538,8.0,11,10.344
18037,1539,6.118,8,9.084
18067,1540,22.052,30,10.54
18071,1541,2.565,4,9.198
18075,1542,2.433,4,7.757
18089,1543,10.112,14,8.59
18103,1544,10.032,14,8.942
18113,1545,7.78,10,9.338
18131,1546,13.277,18,10.073
18136,1547,3.366,5,8.574
18144,1548,6.645,8,8.438
18174,1549,22.052,30,10.031
18186,1550,8.184,12,8.645
18189,1551,1.946,3,8.583
18194,1552,3.712,5,8.711
18219,1553,19.45,25,9.644
18225,1554,4.646,6,9.106
18234,1555,7.079,9,9.036
18242,1556,5.481,8,8.256
18244,1557,1.28,2,8.048
18248,1558,2.667,4,7.65
18253,1559,3.678,5,5.812
18258,1560,3.747,5,5.369
18263,1561,4.013,5,5.575
18271,1562,6.362,8,5.84
18287,1563,13.197,16,5.215
18317,1564,22.852,30,7.036
18324,1565,5.684,7,6.896
18336,1566,7.587,12,7.107
18348,1567,8.32,12,7.811
18360,1568,8.845,12,8.428
18386,1569,18.231,26,9.884
18416,1570,24.033,30,11.912
18424,1571,5.998,8,12.111
18441,1572,13.317,17,12.806
18471,1573,24.732,30,13.96
18481,1574,7.351,10,12.41
18489,1575,5.567,8,12.398
18502,1576,9.58,13,12.597
18511,1577,6.082,9,12.374
18515,1578,2.615,4,11.751
18519,1579,2.846,4,10.212
18522,1580,2.279,3,8.037
18524,1581,1.213,2,7.558
18542,1582,14.844,18,7.711
18572,1583,21.732,30,7.411
18575,1584,1.832,3,6.859
18591,1585,10.669,16,7.369
18602,1586,8.81,11,7.292
18613,1587,7.663,11,7.45
18620,1588,5.712,7,7.76
18645,1589,20.195,25,9.495
18649,1590,2.517,4,9.519
18657,1591,5.499,8,9.947
18662,1592,3.878,5,8.851
18676,1593,10.049,14,7.682
18701,1594,19.664,25,9.466
18705,1595,2.499,4,8.649
18710,1596,3.618,5,8.129
18717,1597,5.762,7,7.939
18731,1598,10.765,14,8.445
18740,1599,7.346,9,7.16
18753,1600,9.479,13,7.856
18776,1601,16.834,23,8.989
18780,1602,2.946,4,8.896
18786,1603,4.979,6,8.389
18808,1604,17.599,22,8.183
18838,1605,23.849,30,10.318
18848,1606,7.6,10,10.716
18852,1607,2.7,4,10.41
18882,1608,25.383,30,11.872
18912,1609,23.564,30,13.493
18919,1610,5.879,7,13.133
18939,1611,16.267,20,13.077
18944,1612,3.499,5,13.132
18953,1613,7.046,9,13.339
18983,1614,22.95,30,13.874
19005,1615,17.877,22,13.277
19022,1616,12.567,17,13.773
19029,1617,5.613,7,14.065
19031,1618,1.064,2,11.633
19053,1619,18.028,22,11.079
19076,1620,16.733,23,12.165
19106,1621,23.699,30,12.908
19112,1622,4.546,6,13.013
19119,1623,5.679,7,12.876
19149,1624,22.052,30,12.786
19179,1625,23.615,30,13.36
19195,1626,12.252,16,13.328
19213,1627,12.883,18,14.055
19216,1628,2.013,3,14.15
19226,1629,7.169,10,13.064
19235,1630,7.146,9,12.106
19257,1631,15.464,22,11.282
19261,1632,2.764,4,11.104
19266,1633,4.031,5,10.939
19271,1634,3.979,5,9.132
19276,1635,3.879,5,7.158
19282,1636,4.613,6,6.394
19289,1637,5.08,7,5.614
19298,1638,6.146,9,6.027
19313,1639,12.878,15,6.598
19323,1640,7.978,10,6.681
19328,1641,3.215,5,5.456
19335,1642,4.845,7,5.665
19342,1643,6.279,7,5.889
19351,1644,6.579,9,6.149
19376,1645,17.932,25,7.555
19396,1646,17.146,20,8.808
19420,1647,21.397,24,10.44
19450,1648,24.144,30,12.239
19456,1649,5.012,6,11.453
19484,1650,19.947,28,12.65
19489,1651,3.367,5,12.665
19497,1652,6.546,8,12.835
19500,1653,1.946,3,12.401
19515,1654,12.844,15,13.028
19526,1655,9.346,11,12.169
19539,1656,9.314,13,11.386
19545,1657,5.019,6,9.748
19557,1658,8.799,12,8.214
19587,1659,25.25,30,10.238
19608,1660,18.612,21,10.104
19614,1661,4.579,6,10.225
19620,1662,4.912,6,10.062
19623,1663,1.699,3,10.037
19632,1664,7.165,9,9.47
19642,1665,8.012,10,9.336
19646,1666,2.88,4,8.693
19649,1667,1.733,3,8.364
19659,1668,7.979,10,8.282
19674,1669,10.366,15,6.794
19684,1670,7.468,10,5.679
19702,1671,14.931,18,6.715
19711,1672,7.464,9,6.97
19716,1673,3.533,5,7.153
19730,1674,12.278,14,7.664
19759,1675,21.78,29,9.041
19789,1676,23.534,30,11.107
19794,1677,3.679,5,11.301
19799,1678,3.563,5,10.86
19802,1679,1.947,3,10.018
19812,1680,7.852,10,10.056
19842,1681,22.763,30,10.839
19860,1682,14.664,18,11.559
19875,1683,12.843,15,12.49
19883,1684,5.568,8,11.819
19892,1685,6.302,9,10.272
19914,1686,17.497,22,9.668
19932,1687,14.798,18,10.78
19958,1688,19.046,26,12.328
19988,1689,24.567,30,14.59
19999,1690,8.466,11,14.651
20004,1691,3.88,5,12.763
20008,1692,2.715,4,11.568
20022,1693,11.398,14,11.424
20046,1694,16.749,24,12.542
20058,1695,9.362,12,12.848
20062,1696,2.979,4,11.396
20071,1697,7.131,9,10.629
20080,1698,6.598,9,9.385
20091,1699,7.848,11,7.713
20102,1700,8.001,11,7.666
20108,1701,4.845,6,7.763
20117,1702,7.545,9,8.246
20141,1703,19.629,24,9.069
20150,1704,6.265,9,8.02
20167,1705,11.785,17,8.263
20175,1706,6.579,8,8.623
20181,1707,4.613,6,8.371
20186,1708,3.617,5,8.073
20206,1709,17.246,20,9.012
20210,1710,3.246,4,8.537
20223,1711,9.649,13,9.017
20234,1712,8.978,11,9.161
20259,1713,20.646,25,9.262
20265,1714,4.786,6,9.115
20271,1715,4.946,6,8.431
20283,1716,9.685,12,8.741
20302,1717,14.065,19,9.686
20313,1718,7.552,11,10.08
20340,1719,19.196,27,10.275
20344,1720,2.536,4,10.204
20353,1721,7.279,9,9.967
20361,1722,6.267,8,9.696
20391,1723,22.817,30,9.913
20397,1724,4.484,6,9.883
20415,1725,15.145,18,10.903
20442,1726,20.352,27,11.969
20455,1727,10.011,13,11.564
20462,1728,4.367,7,11.245
20466,1729,2.865,4,9.612
20482,1730,11.828,16,10.541
20488,1731,4.578,6,10.271
20494,1732,4.579,6,10.103
20498,1733,2.912,4,8.112
20510,1734,9.784,12,8.642
20515,1735,3.365,5,7.464
20529,1736,9.896,14,6.419
20532,1737,1.632,3,5.581
20558,1738,20.83,26,7.227
20562,1739,2.633,4,7.204
20568,1740,4.565,6,6.477
20598,1741,24.895,30,8.509
20609,1742,7.085,11,8.76
20617,1743,6.679,8,9.137
20620,1744,1.699,3,8.328
20649,1745,24.863,29,10.478
20655,1746,4.63,6,9.951
20667,1747,10.362,12,10.824
20697,1748,23.033,30,11.045
20701,1749,2.813,4,11.063
20717,1750,11.877,16,11.794
20725,1751,6.418,8,9.946
20751,1752,21.063,26,11.344
20753,1753,1.02,2,10.778
20756,1754,1.766,3,10.785
20759,1755,1.88,3,8.486
20767,1756,5.698,8,8.593
20787,1757,15.613,20,9.118
20817,1758,21.385,30,8.953
20822,1759,3.268,5,8.999
20839,1760,12.798,17,9.091
20869,1761,21.687,30,10.618
20873,1762,3.013,4,8.813
20894,1763,17.545,21,10.465
20900,1764,4.366,6,10.725
20925,1765,19.068,25,12.444
20955,1766,22.182,30,14.093
20969,1767,11.382,14,13.669
20987,1768,15.045,18,13.035
20994,1769,5.617,7,13.27
21005,1770,9.246,11,12.915
21035,1771,21.966,30,12.943
21042,1772,5.611,7,13.203
21045,1773,1.799,3,11.628
21061,1774,11.969,16,12.389
21066,1775,3.897,5,10.872
21069,1776,1.765,3,8.83
21078,1777,6.581,9,8.35
21089,1778,9.249,11,7.77
21100,1779,8.486,11,8.057
21125,1780,19.95,25,9.127
21128,1781,2.013,3,7.132
21134,1782,4.68,6,7.039
21138,1783,2.78,4,7.137
21168,1784,23.518,30,8.292
21173,1785,3.119,5,8.214
21185,1786,8.681,12,8.906
21193,1787,6.612,8,8.909
21200,1788,5.432,7,8.527
21208,1789,5.745,8,8.253
21217,1790,7.115,9,6.969
21236,1791,15.215,19,8.29
21245,1792,6.198,9,8.441
21249,1793,2.798,4,8.443
21253,1794,2.88,4,6.379
21283,1795,22.761,30,8.344
21286,1796,1.948,3,7.67
21312,1797,18.544,26,8.864
21339,1798,20.367,27,10.357
21342,1799,1.898,3,9.972
21368,1800,20.145,26,11.275
21388,1801,17.852,20,11.539
21395,1802,5.613,7,11.481
21406,1803,7.515,11,11.952
21423,1804,13.328,17,12.997
21434,1805,9.666,11,11.688
21439,1806,3.299,5,11.823
21449,1807,7.58,10,10.726
21463,1808,10.197,14,9.709
